1.039349294 10.580200000 9.543430000
1.228321893 10.643100000 9.520030000
1.417294491 10.824100000 10.169600000
1.606267090 11.079300000 11.192300000
1.795239689 11.400400000 12.502800000
1.984212288 11.785800000 14.083700000
2.173184887 12.230600000 15.937900000
2.362157486 12.725200000 18.063300000
2.551130085 13.256200000 20.439500000
2.740102683 13.806600000 23.025700000
2.929075282 14.358500000 25.769400000
3.118047881 14.894400000 28.620100000
3.307020480 15.400000000 31.539200000
3.495993079 15.865600000 34.502700000
3.684965678 16.286300000 37.499300000
3.873938277 16.661100000 40.526200000
4.062910875 16.991000000 43.586200000
4.251883474 17.278300000 46.684800000
4.440856073 17.524300000 49.829700000
4.629828672 17.728500000 53.030600000
4.818801271 17.884700000 56.300300000
5.007773870 17.976000000 59.645600000
5.196746469 17.980100000 62.987400000
5.385719067 17.916900000 66.104200000
5.574691666 17.838800000 68.951400000
5.763664265 17.776600000 71.790200000
5.952636864 17.739900000 74.947500000
6.141609463 17.726200000 78.537000000
6.330582062 17.728600000 82.473300000
6.519554661 19.172300000 87.571200000
6.708527259 19.178900000 91.671600000
6.897499858 19.188900000 95.674100000
7.086472457 19.271700000 100.452000000
7.275445056 19.267300000 104.573000000
7.464417655 19.258500000 108.760000000
7.653390254 19.246900000 113.017000000
7.842362853 19.233900000 117.344000000
8.031335451 19.220500000 121.744000000
8.220308050 19.207300000 126.218000000
8.409280649 19.195200000 130.767000000
8.598253248 19.184800000 135.392000000
8.787225847 19.176500000 140.096000000
8.976198446 19.168700000 144.877000000
9.165171045 19.163600000 149.736000000
9.354143643 19.159300000 154.675000000
9.543116242 19.156100000 159.698000000
9.732088841 19.150900000 164.800000000
9.921061440 19.147700000 169.981000000
10.110034039 19.147300000 175.246000000
10.299006638 19.147700000 180.594000000
10.487979237 19.149300000 186.022000000
10.676951835 19.152100000 191.534000000
10.865924434 19.153200000 197.129000000
11.054897033 19.157100000 202.811000000
11.243869632 19.162700000 208.574000000
11.432842231 19.164900000 214.417000000
